PUBLIC;ACADEMIC_Y;COURSE_NAME;COURSE_ACCESS_CONNECTION;COURSE_ACCESS_MINUTES;COURSE_INTERACTIONS;FIRST_COURSE_ACCESS;LAST_COURSE_ACCESS;T_EXE_SUBMISSION_COUNT;RATING_S1Q1;RANK_S1Q1;TOTAL_STUDENTS_NUMBER;S1Q1_EXE_SUBMISSION_COUNT;FIRST_S1Q1_EXE_SUBMISSION;LAST_S1Q1_EXE_SUBMISSION;RATING_S2Q1;DIFF_RATING_S2Q1;RANK_S2Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S2Q1;S2Q1_EXE_SUBMISSION_COUNT;FIRST_S2Q1_EXE_SUBMISSION;LAST_S2Q1_EXE_SUBMISSION;RATING_S3Q1;DIFF_RATING_S3Q1;RANK_S3Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S3Q1;S3Q1_EXE_SUBMISSION_COUNT;FIRST_S3Q1_EXE_SUBMISSION;LAST_S3Q1_EXE_SUBMISSION;RATING_S4Q1;DIFF_RATING_S4Q1;RANK_S4Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S4Q1;S4Q1_EXE_SUBMISSION_COUNT;FIRST_S4Q1_EXE_SUBMISSION;LAST_S4Q1_EXE_SUBMISSION;RATING_S5Q1;DIFF_RATING_S5Q1;RANK_S5Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S5Q1;S5Q1_EXE_SUBMISSION_COUNT;FIRST_S5Q1_EXE_SUBMISSION;LAST_S5Q1_EXE_SUBMISSION;RATING_S6Q1;DIFF_RATING_S6Q1;RANK_S6Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S6Q1;S6Q1_EXE_SUBMISSION_COUNT;FIRST_S6Q1_EXE_SUBMISSION;LAST_S6Q1_EXE_SUBMISSION;RATING_S7Q1;DIFF_RATING_S7Q1;RANK_S7Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S7Q1;S7Q1_EXE_SUBMISSION_COUNT;FIRST_S7Q1_EXE_SUBMISSION;LAST_S7Q1_EXE_SUBMISSION;RATING_S8Q1;DIFF_RATING_S8Q1;RANK_S8Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S8Q1;S8Q1_EXE_SUBMISSION_COUNT;FIRST_S8Q1_EXE_SUBMISSION;LAST_S8Q1_EXE_SUBMISSION;RATING_S9Q1;DIFF_RATING_S9Q1;RANK_S9Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S9Q1;S9Q1_EXE_SUBMISSION_COUNT;FIRST_S9Q1_EXE_SUBMISSION;LAST_S9Q1_EXE_SUBMISSION;RATING_S10Q1;DIFF_RATING_S10Q1;RANK_S10Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S10Q1;S10Q1_EXE_SUBMISSION_COUNT;FIRST_S10Q1_EXE_SUBMISSION;LAST_S10Q1_EXE_SUBMISSION;RATING_FINAL_EXAM;DIFF_RATING_FINAL_EXAM;RANK_FINAL_EXAM;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_FINAL_EXAM;FE_EXE_SUBMISSION_COUNT;FIRST_FE_EXE_SUBMISSION;LAST_FE_EXE_SUBMISSION;AVG_RATING;RANK;TOTAL_STUDENTS_NUMBER;ACTIVITY_ORIENTED_INVESTMENT;INTERACTION_ORIENTED_INVESTMENT;COURSE_ACCESS_CONNECTION_ORIENTED_INVESTMENT;COURSE_ACCESS_COUNT_ORIENTED_INVESTMENT;ENGAGEMENT;DIFFICULTY
M2I,IA BIG DATA  ;2021_2022;Python;15;1806;243;2021-10-18 05:35:36.527 ;2021-10-24 12:44:56.273 ;9;80;6;29;4;2021-10-19 01:28:21.835 ;2021-10-19 02:07:24.247 ;90;10;15;29;9;2;2021-10-19 04:21:15.332 ;2021-10-19 04:25:01.989 ;100;10;1;29;-14;2;2021-10-20 02:36:37.319 ;2021-10-20 02:40:17.660 ;60;-40;20;29;19;1;2021-10-20 08:16:00.304 ;2021-10-20 08:16:00.304 ;0;-60;29;29;9;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;41,25;20;29;50;45,50561798;100;83,33333333;76,27965044;E+P-
M2I,IA BIG DATA  ;2021_2022;Python;9;771;187;2021-10-18 01:58:03.050 ;2022-06-01 13:33:14.755 ;4;80;6;29;2;2021-10-19 01:03:57.629 ;2021-10-19 01:04:42.304 ;100;20;1;29;-5;1;2021-10-19 01:47:12.943 ;2021-10-19 01:47:12.943 ;85;-15;16;29;15;1;2021-10-19 02:14:03.035 ;2021-10-19 02:14:03.035 ;0;-85;29;29;13;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;33,125;21;29;37,5;35,01872659;42,6910299;50;42,56991883;E-P-
M2I,IA BIG DATA  ;2021_2022;Python;13;880;377;2021-10-18 05:22:30.372 ;2022-06-07 05:40:06.271 ;11;80;6;29;2;2021-10-18 05:25:37.635 ;2021-10-18 05:27:10.503 ;100;20;1;29;-5;1;2021-10-18 05:30:10.294 ;2021-10-18 05:30:10.294 ;90;-10;12;29;11;1;2021-10-19 00:34:56.480 ;2021-10-19 00:34:56.480 ;90;0;5;29;-7;2;2021-10-19 00:46:32.522 ;2021-10-19 01:02:28.909 ;77,78;-12,22;3;29;-2;2;2021-10-19 01:07:19.911 ;2021-10-19 01:14:38.190 ;100;22,22;1;29;-2;1;2021-10-19 01:19:10.140 ;2021-10-19 01:19:10.140 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;70;-30;5;29;4;1;2021-10-19 01:42:30.766 ;2021-10-19 01:42:30.766 ;100;30;1;29;-4;1;2021-10-19 02:06:46.582 ;2021-10-19 02:06:46.582 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;88,4725;4;29;12,5;70,59925094;48,72646733;72,22222222;63,8493135;E+P+
M2I,IA BIG DATA  ;2021_2022;Python;11;1017;229;2021-10-18 05:29:36.262 ;2021-10-24 12:39:21.803 ;6;90;1;29;4;2021-10-19 02:27:21.014 ;2021-10-19 02:36:41.224 ;80;-10;23;29;22;1;2021-10-19 04:22:33.543 ;2021-10-19 04:22:33.543 ;80;0;22;29;-1;1;2021-10-19 12:16:32.040 ;2021-10-19 12:16:32.040 ;80;0;9;29;-13;1;2021-10-20 02:55:22.492 ;2021-10-20 02:55:22.492 ;0;-80;29;29;20;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;41,25;21;29;50;42,88389513;56,31229236;61,11111111;53,4357662;E+P-
M2I,IA BIG DATA  ;2021_2022;Python;17;1031;222;2021-10-18 01:11:06.977 ;2021-10-26 07:24:23.179 ;5;80;6;29;2;2021-10-19 00:59:48.970 ;2021-10-19 01:02:07.843 ;100;20;1;29;-5;1;2021-10-19 01:39:56.535 ;2021-10-19 01:39:56.535 ;95;-5;7;29;6;1;2021-10-19 02:23:55.987 ;2021-10-19 02:23:55.987 ;80;-15;9;29;2;1;2021-10-19 09:48:33.329 ;2021-10-19 09:48:33.329 ;0;-80;29;29;20;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;44,375;17;29;50;41,57303371;57,08748616;94,44444444;64,36832144;E+P-
M2I,IA BIG DATA  ;2021_2022;Python;7;831;136;2021-10-18 05:43:44.111;2021-10-26 00:53:20.257 ;5;80;6;29;2;2021-10-19 02:16:43.017 ;2021-10-19 02:20:04.286 ;100;20;1;29;-5;2;2021-10-20 02:22:16.592 ;2021-10-20 02:24:41.174 ;95;-5;7;29;6;1;2021-10-20 05:30:37.352 ;2021-10-20 05:30:37.352 ;0;-95;29;29;22;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;34,375;20;29;37,5;25,46816479;46,01328904;38,88888889;36,79011424;E-P-
M2I,IA BIG DATA  ;2021_2022;Python;12;431;176;2021-10-18 05:22:18.821;2021-11-29 09:30:13.585 ;4;60;27;29;2;2021-10-19 01:21:43.311 ;2021-10-19 01:33:31.329 ;100;40;1;29;-26;1;2021-10-19 07:22:35.474 ;2021-10-19 07:22:35.474 ;100;0;1;29;0;1;2021-10-20 11:42:05.322 ;2021-10-20 11:42:05.322 ;0;-100;29;29;28;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;32,5;22;29;37,5;32,9588015;23,8648948;66,66666667;41,16345432;E-P-
M2I,IA BIG DATA  ;2021_2022;Python;9;708;245;2021-10-18 05:22:11.611 ;2021-10-22 08:06:02.277 ;11;80;6;29;6;2021-10-19 02:03:04.994 ;2021-10-19 02:08:50.532 ;80;0;23;29;17;5;2021-10-19 02:50:21.775 ;2021-10-19 02:59:07.179 ;80;0;22;29;-1;1;2021-10-19 08:06:08.414 ;2021-10-19 08:06:08.414 ;70;-10;15;29;-7;1;2021-10-20 06:01:00.229 ;2021-10-20 06:01:00.229 ;0;-70;29;29;14;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;38,75;23;29;50;45,88014981;39,20265781;50;45,02760254;E-P-
M2I,IA BIG DATA  ;2021_2022;Python;13;1214;325;2021-10-18 05:22:21.407 ;2022-02-08 17:11:22.805 ;10;80;6;29;2;2021-10-18 05:58:37.738 ;2021-10-18 05:59:57.810 ;100;20;1;29;-5;1;2021-10-18 07:21:00.297 ;2021-10-18 07:21:00.297 ;85;-15;16;29;15;1;2021-10-18 07:25:36.294 ;2021-10-18 07:25:36.294 ;80;-5;9;29;-7;1;2021-10-18 07:42:49.516 ;2021-10-18 07:42:49.516 ;72,22;-7,78;9;29;0;2;2021-10-18 12:44:07.495 ;2021-10-18 13:06:21.172 ;100;27,78;1;29;-8;1;2021-10-18 14:35:09.247 ;2021-10-18 14:35:09.247 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;90;-10;3;29;2;1;2021-10-18 14:51:21.201 ;2021-10-18 14:51:21.201 ;100;10;1;29;-2;1;2021-10-18 15:02:29.751 ;2021-10-18 15:02:29.751 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;88,4025;6;29;100;60,86142322;67,22037652;72,22222222;66,76800732;E+P+
M2I,IA BIG DATA  ;2021_2022;Python;13;417;217;2021-10-18 05:22:14.489 ;2022-03-14 03:25:14.769 ;9;80;6;29;8;2021-10-18 06:03:31.812 ;2021-10-18 06:08:28.195 ;90;10;15;29;9;1;2021-10-19 02:31:47.233 ;2021-10-19 02:31:47.233 ;95;5;7;29;-8;1;2021-10-19 07:02:34.437 ;2021-10-19 07:02:34.437 ;80;-15;9;29;2;2;2021-10-21 00:12:08.887 ;2021-10-21 00:16:55.130 ;0;-80;29;29;20;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;43,125;19;29;50;40,63670412;23,089701;72,22222222;45,31620911;E-P-
